Name	Complete Name	Id	Edition	Release	Release Date	Birth Date	Wage	Work Rate	Birth Place	Height	Weight	Position	Value	Foot	Intern. Rep.	Weak Foot	Skill Moves	Release Clause	Team	Team Position	Team Skill	Jersey	Short Passing	Contract	Nat. Team	Jersey Nat.	Nat. Position	Overall	Potential	Crossing	Finishing	Heading Accuracy	Joined	Volleys	Dribbling	Curve	FK Accuracy	Long Passing	Ball Control	Acceleration	Sprint Speed	Agility	Reactions	Balance	Shot Power	Jumping	Stamina	Strength	Long Shots	Aggression	Interceptions	Positioning	Vision	Penalties	Marking	Standing Tackle	Sliding Tackle	GK Diving	GK Handling	GK Kicking	GK Positioning	GK Reflexes	Tags	Nat. Team Skill	Win Comp.	Lose Comp.	Expulsions	Injuries
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	17	158540	Nov7,2016	Feb 5, 1985	€340K	High/ Low	Portugal	6'1"	176lbs	L S	€87M	Right	5 	4 	5 	None	Real Madrid	LW	86	7	82	2021	Portugal	7	LS	94	94	84	93	87	Jul 1, 2009	88	93	81	77	72	92	91	92	90	96	63	94	95	92	80	92	63	29	94	85	85	22	31	23	7	11	15	14	11	6	83	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	16	158131	Sep25,2015	Feb 5, 1985	€475K	High/ Low	Portugal	6'1"	176lbs	S T	€85.5M	Right	5 	4 	5 	None	Real Madrid	LM	84	7	81	2018	Portugal	7	ST	93	93	82	95	86	Jul 1, 2009	87	93	88	77	72	91	91	93	90	92	62	94	94	87	79	93	62	29	93	81	85	22	31	23	7	11	15	14	11	6	81	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	18	158998	Feb8,2018	Feb 5, 1985	€565K	High/ Low	Portugal	6'2"	183lbs	L S	€95.5M	Right	5 	4 	5 	€195.8M	Real Madrid	LW	86	7	83	2021	Portugal	7	LS	94	94	85	94	88	Jul 1, 2009	88	91	81	76	77	93	89	91	89	96	63	94	95	92	80	92	63	29	95	85	85	22	31	23	7	11	15	14	11	6	83	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	15	157970	Apr17,2015	Feb 5, 1985	€375K	High/ Low	Portugal	6'1"	176lbs	L S	€78.5M	Right	5 	4 	5 	None	Real Madrid	LW	84	7	82	2018	Portugal	7	LS	92	92	83	95	86	Jul 1, 2009	87	93	88	79	72	92	91	94	93	90	63	94	94	89	79	93	63	24	91	81	85	22	31	23	7	11	15	14	11	6	80	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	17	158492	Sep20,2016	Feb 5, 1985	€340K	High/ Low	Portugal	6'1"	176lbs	L S	€87M	Right	5 	4 	5 	None	Real Madrid	LW	86	7	82	2018	Portugal	7	LS	94	94	84	93	87	Jul 1, 2009	88	93	81	77	72	92	91	92	90	96	63	94	95	92	80	92	63	29	94	85	85	22	31	23	7	11	15	14	11	6	83	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	18	158904	Nov6,2017	Feb 5, 1985	€565K	High/ Low	Portugal	6'1"	176lbs	L S	€95.5M	Right	5 	4 	5 	€195.8M	Real Madrid	LS	86	7	83	2021	Portugal	7	LS	94	94	85	94	88	Jul 1, 2009	88	91	81	76	77	93	89	91	89	96	63	94	95	92	80	92	63	29	95	85	85	22	31	23	7	11	15	14	11	6	83	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	15	157759	Sep18,2014	Feb 5, 1985	€0	High/ Low	Portugal	6'1"	176lbs	L W	€0	Right	5 	4 	5 	None	Real Madrid	LW	84	7	82	2018	Portugal	7	LW	92	92	83	95	86	Jul 1, 2009	87	93	88	79	72	92	91	94	93	90	63	94	94	89	79	93	63	24	91	81	85	22	31	23	7	11	15	14	11	6	80	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	15	157802	Oct31,2014	Feb 5, 1985	€375K	High/ Low	Portugal	6'1"	176lbs	L S	€78.5M	Right	5 	4 	5 	None	Real Madrid	LS	84	7	82	2018	Portugal	7	LS	92	92	83	95	86	Jul 1, 2009	87	93	88	79	72	92	91	94	93	90	63	94	94	89	79	93	63	24	91	81	85	22	31	23	7	11	15	14	11	6	80	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	16	158127	Sep21,2015	Feb 5, 1985	€475K	High/ Low	Portugal	6'1"	176lbs	S T	€85.5M	Right	5 	4 	5 	None	Real Madrid	LM	84	7	81	2018	Portugal	7	ST	93	93	82	95	86	Jul 1, 2009	87	93	88	77	72	91	91	93	90	92	62	94	94	87	79	93	62	29	93	81	85	22	31	23	7	11	15	14	11	6	80	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	17	158557	Nov24,2016	Feb 5, 1985	€340K	High/ Low	Portugal	6'1"	176lbs	L W	€87M	Right	5 	4 	5 	None	Real Madrid	LW	86	7	83	2021	Portugal	7	LW	94	94	84	93	85	Jul 1, 2009	88	92	81	76	77	93	91	92	90	96	63	92	95	92	80	90	63	29	94	85	85	22	31	23	7	11	15	14	11	6	83	8	41	4	12
Cristiano Ronaldo	Cristiano Ronaldo dos Santos Aveiro	20801	16	158152	Oct16,2015	Feb 5, 1985	€475K	High/ Low	Portugal	6'1"	176lbs	S T	€85.5M	Right	5 	4 	5 	None	Real Madrid	LM	84	7	81	2018	Portugal	7	ST	93	93	82	95	86	Jul 1, 2009	87	93	88	77	72	91	91	93	90	92	62	94	94	90	79	93	62	29	93	81	85	22	31	23	7	11	15	14	11	6	80	8	41	4	12
